material_id,cpse_name,sector,plant,legacy_material_code,material_description,short_description,material_category,material_subcategory,technical_specification,material_grade,size,manufacturer,manufacturer_part_number,uom,unit_price,currency,annual_consumption,lead_time_days,criticality,procurement_type,supplier,last_purchase_date,status,canonical_material_id,common_national_material_code,duplicate_group_id,equivalence_group_id,match_type,equivalence_label,standardized_description,standardized_specification
MAT-OG-000001,ONGC,Oil & Gas,ONGC-PLANT-05,OG-126225,CARTRIDGE  FILTER  -  PP  -  10  MICRON,CARTRIDGE  FILTER  -  PP  -  10  MICRON,Filters,Cartridge Filter,DOE 10 inch,PP,10 micron,Bharat Engineering,MP-39256,EA,184157.33,INR,4472,14,CRITICAL,Domestic,Supplier A,2026-03-02,ACTIVE,CAN-OG-00655,NMC-OG-00655,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,PP Cartridge Filter 10 micron,DOE 10 inch
MAT-OG-000002,ONGC,Oil & Gas,ONGC-PLANT-07,OG-688508,Cartridge Filter PP 10 micron,Cartridge Filter PP 10 micron,Filters,Cartridge Filter,DOE 10 inch,PP,10 micron,Bharat Engineering,MP-68878,LTR,69655.95,INR,58,23,CRITICAL,Imported,Supplier C,2025-10-26,ACTIVE,CAN-OG-00617,NMC-OG-00617,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,PP Cartridge Filter 10 micron,DOE 10 inch
MAT-OG-000003,ONGC,Oil & Gas,ONGC-PLANT-02,OG-197251,6312 Deep Groove Bearing DIA 6312,6312 Deep Groove Bearing DIA 6312,Bearings,Deep Groove Bearing,ISO 15,6312,6312,National Components,MP-55082,LTR,66240.54,INR,360,61,LOW,Imported,Supplier A,2023-08-06,ACTIVE,CAN-OG-00345,NMC-OG-00345,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,6312 Deep Groove Bearing 6312,ISO 15
MAT-OG-000004,BPCL,Oil & Gas,BPCL-PLANT-02,OG-705397,Cartridge Filter PP 10 micron,Cartridge Filter PP 10 micron,Filters,Cartridge Filter,DOE 10 inch,PP,10 micron,ABC Industries,MP-96673,EA,193301.12,INR,658,32,LOW,Imported,Supplier C,2024-02-24,ACTIVE,CAN-OG-00634,NMC-OG-00634,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,PP Cartridge Filter 10 micron,DOE 10 inch
MAT-OG-000005,IOCL,Oil & Gas,IOCL-PLANT-02,OG-802729,"Deep Groove Bearing, 6312, 6312","Deep Groove Bearing, 6312, 6312",Bearings,Deep Groove Bearing,ISO 15,6312,6312,OEM Equivalent,MP-93227,EA,133604.85,INR,2010,23,CRITICAL,Imported,Supplier C,2023-02-07,ACTIVE,CAN-OG-00364,NMC-OG-00364,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,6312 Deep Groove Bearing 6312,ISO 15
MAT-OG-000006,ONGC,Oil & Gas,ONGC-PLANT-06,OG-340174,Cu/XLPE Power Cable 3C x 185 sqmm,Cu/XLPE Power Cable 3C x 185 sqmm,Cables,Power Cable,11 kV XLPE,Cu/XLPE,3C x 185 sqmm,Precision Works,MP-45093,NOS,52864.06,INR,4651,43,MEDIUM,Rate Contract,Supplier D,2024-06-21,BLOCKED,CAN-OG-00787,NMC-OG-00787,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,Cu/XLPE Power Cable 3C x 185 sqmm,11 kV XLPE
MAT-OG-000007,IOCL,Oil & Gas,IOCL-PLANT-05,OG-881177,Carbon Steel Pipe SMLS CS A106 Gr.B 4 inch,Carbon Steel Pipe SMLS CS A106 Gr.B 4 in,Pipes,Carbon Steel Pipe,ASTM A106 Gr.B SCH40,CS A106 Gr.B,4 inch,OEM Equivalent,MP-66155,LTR,99940.22,INR,1801,20,CRITICAL,Domestic,Supplier A,2026-01-28,ACTIVE,CAN-OG-00143,NMC-OG-00143,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,CS A106 Gr.B Carbon Steel Pipe 4 inch,ASTM A106 Gr.B SCH40
MAT-OG-000008,HPCL,Oil & Gas,HPCL-PLANT-07,OG-725380,PP Cartridge Filter 10 micron,PP Cartridge Filter 10 micron,Filters,Cartridge Filter,DOE 10 inch,PP,10 micron,Precision Works,MP-88104,M,132349.22,INR,4537,4,LOW,Rate Contract,Supplier C,2023-02-05,ACTIVE,CAN-OG-00697,NMC-OG-00697,DUP-OG-00800,EQ-OG-00800,EXACT_DUPLICATE,1,PP Cartridge Filter 10 micron,DOE 10 inch
MAT-OG-000009,IOCL,Oil & Gas,IOCL-PLANT-05,OG-575763,CS Centrifugal Pump 50 m3/h,CS Centrifugal Pump 50 m3/h,Pumps,Centrifugal Pump,API 610,CS,50 m3/h,OEM Equivalent,MP-33416,LTR,228170.07,INR,2449,84,MEDIUM,Domestic,Supplier C,2025-10-14,ACTIVE,CAN-OG-00446,NMC-OG-00446,DUP-OG-00800,EQ-OG-00800,NEAR_DUPLICATE,1,CS Centrifugal Pump 50 m3/h,API 610
MAT-OG-000010,ONGC,Oil & Gas,ONGC-PLANT-05,OG-217301,"Spiral Wound Gasket, SS316/Graphite, 2 inch","Spiral Wound Gasket, SS316/Graphite, 2 i",Gaskets,Spiral Wound Gasket,ASME B16.20,SS316/Graphite,2 inch,Bharat Engineering,MP-17592,EA,219520.7,INR,650,13,CRITICAL,Domestic,Supplier B,2025-12-21,BLOCKED,CAN-OG-00501,NMC-OG-00501,DUP-OG-00800,EQ-OG-00800,NEAR_DUPLICATE,1,SS316/Graphite Spiral Wound Gasket 2 inch,ASME B16.20
