source_material_code,cpse_id,true_cluster_id,is_duplicate,canonical_name
CP-10010,CPCL_OG,CLUSTER_COMMON_001,TRUE,Spherical Roller Bearing 22220
NT-10011,NTPC_PW,CLUSTER_COMMON_001,TRUE,Spherical Roller Bearing 22220
SA-10012,SAIL_ST,CLUSTER_COMMON_001,TRUE,Spherical Roller Bearing 22220
CI-10013,CIL_MN,CLUSTER_COMMON_001,TRUE,Spherical Roller Bearing 22220
BH-10014,BHEL_HE,CLUSTER_COMMON_001,TRUE,Spherical Roller Bearing 22220
CP-10020,CPCL_OG,CLUSTER_COMMON_002,TRUE,Deep Groove Ball Bearing 6205-2RSH
NT-10021,NTPC_PW,CLUSTER_COMMON_002,TRUE,Deep Groove Ball Bearing 6205-2RSH
SA-10022,SAIL_ST,CLUSTER_COMMON_002,TRUE,Deep Groove Ball Bearing 6205-2RSH
CI-10023,CIL_MN,CLUSTER_COMMON_002,TRUE,Deep Groove Ball Bearing 6205-2RSH
BH-10024,BHEL_HE,CLUSTER_COMMON_002,TRUE,Deep Groove Ball Bearing 6205-2RSH
CP-10030,CPCL_OG,CLUSTER_COMMON_003,TRUE,Spherical Roller Bearing 22316
NT-10031,NTPC_PW,CLUSTER_COMMON_003,TRUE,Spherical Roller Bearing 22316
SA-10032,SAIL_ST,CLUSTER_COMMON_003,TRUE,Spherical Roller Bearing 22316
CI-10033,CIL_MN,CLUSTER_COMMON_003,TRUE,Spherical Roller Bearing 22316
BH-10034,BHEL_HE,CLUSTER_COMMON_003,TRUE,Spherical Roller Bearing 22316
CP-10040,CPCL_OG,CLUSTER_COMMON_004,TRUE,Gate Valve Cast Steel 150NB Class 150
NT-10041,NTPC_PW,CLUSTER_COMMON_004,TRUE,Gate Valve Cast Steel 150NB Class 150
SA-10042,SAIL_ST,CLUSTER_COMMON_004,TRUE,Gate Valve Cast Steel 150NB Class 150
CI-10043,CIL_MN,CLUSTER_COMMON_004,TRUE,Gate Valve Cast Steel 150NB Class 150
BH-10044,BHEL_HE,CLUSTER_COMMON_004,TRUE,Gate Valve Cast Steel 150NB Class 150
CP-10050,CPCL_OG,CLUSTER_COMMON_005,TRUE,Globe Valve Cast Steel 100NB Class 150
NT-10051,NTPC_PW,CLUSTER_COMMON_005,TRUE,Globe Valve Cast Steel 100NB Class 150
SA-10052,SAIL_ST,CLUSTER_COMMON_005,TRUE,Globe Valve Cast Steel 100NB Class 150
CI-10053,CIL_MN,CLUSTER_COMMON_005,TRUE,Globe Valve Cast Steel 100NB Class 150
BH-10054,BHEL_HE,CLUSTER_COMMON_005,TRUE,Globe Valve Cast Steel 100NB Class 150
CP-10060,CPCL_OG,CLUSTER_COMMON_006,TRUE,Ball Valve 50NB Class 300
NT-10061,NTPC_PW,CLUSTER_COMMON_006,TRUE,Ball Valve 50NB Class 300
SA-10062,SAIL_ST,CLUSTER_COMMON_006,TRUE,Ball Valve 50NB Class 300
CI-10063,CIL_MN,CLUSTER_COMMON_006,TRUE,Ball Valve 50NB Class 300
BH-10064,BHEL_HE,CLUSTER_COMMON_006,TRUE,Ball Valve 50NB Class 300
CP-10070,CPCL_OG,CLUSTER_COMMON_007,TRUE,Spiral Wound Gasket 150NB Class 150 SS316 Graphite
NT-10071,NTPC_PW,CLUSTER_COMMON_007,TRUE,Spiral Wound Gasket 150NB Class 150 SS316 Graphite
SA-10072,SAIL_ST,CLUSTER_COMMON_007,TRUE,Spiral Wound Gasket 150NB Class 150 SS316 Graphite
CI-10073,CIL_MN,CLUSTER_COMMON_007,TRUE,Spiral Wound Gasket 150NB Class 150 SS316 Graphite
BH-10074,BHEL_HE,CLUSTER_COMMON_007,TRUE,Spiral Wound Gasket 150NB Class 150 SS316 Graphite
CP-10080,CPCL_OG,CLUSTER_COMMON_008,TRUE,Spiral Wound Gasket 100NB Class 150 SS316 Graphite
NT-10081,NTPC_PW,CLUSTER_COMMON_008,TRUE,Spiral Wound Gasket 100NB Class 150 SS316 Graphite
SA-10082,SAIL_ST,CLUSTER_COMMON_008,TRUE,Spiral Wound Gasket 100NB Class 150 SS316 Graphite
CI-10083,CIL_MN,CLUSTER_COMMON_008,TRUE,Spiral Wound Gasket 100NB Class 150 SS316 Graphite
BH-10084,BHEL_HE,CLUSTER_COMMON_008,TRUE,Spiral Wound Gasket 100NB Class 150 SS316 Graphite
CP-10090,CPCL_OG,CLUSTER_COMMON_009,TRUE,Induction Motor 15kW 4P TEFC
NT-10091,NTPC_PW,CLUSTER_COMMON_009,TRUE,Induction Motor 15kW 4P TEFC
SA-10092,SAIL_ST,CLUSTER_COMMON_009,TRUE,Induction Motor 15kW 4P TEFC
CI-10093,CIL_MN,CLUSTER_COMMON_009,TRUE,Induction Motor 15kW 4P TEFC
BH-10094,BHEL_HE,CLUSTER_COMMON_009,TRUE,Induction Motor 15kW 4P TEFC
CP-10100,CPCL_OG,CLUSTER_COMMON_010,TRUE,Induction Motor 30kW 4P TEFC
NT-10101,NTPC_PW,CLUSTER_COMMON_010,TRUE,Induction Motor 30kW 4P TEFC
SA-10102,SAIL_ST,CLUSTER_COMMON_010,TRUE,Induction Motor 30kW 4P TEFC
CI-10103,CIL_MN,CLUSTER_COMMON_010,TRUE,Induction Motor 30kW 4P TEFC
BH-10104,BHEL_HE,CLUSTER_COMMON_010,TRUE,Induction Motor 30kW 4P TEFC
CP-10110,CPCL_OG,CLUSTER_COMMON_011,TRUE,Induction Motor 75kW 4P TEFC
NT-10111,NTPC_PW,CLUSTER_COMMON_011,TRUE,Induction Motor 75kW 4P TEFC
SA-10112,SAIL_ST,CLUSTER_COMMON_011,TRUE,Induction Motor 75kW 4P TEFC
CI-10113,CIL_MN,CLUSTER_COMMON_011,TRUE,Induction Motor 75kW 4P TEFC
BH-10114,BHEL_HE,CLUSTER_COMMON_011,TRUE,Induction Motor 75kW 4P TEFC
CP-10120,CPCL_OG,CLUSTER_COMMON_012,TRUE,11kV XLPE Cable 3C x 400 sqmm Aluminium
NT-10121,NTPC_PW,CLUSTER_COMMON_012,TRUE,11kV XLPE Cable 3C x 400 sqmm Aluminium
SA-10122,SAIL_ST,CLUSTER_COMMON_012,TRUE,11kV XLPE Cable 3C x 400 sqmm Aluminium
CI-10123,CIL_MN,CLUSTER_COMMON_012,TRUE,11kV XLPE Cable 3C x 400 sqmm Aluminium
