source_material_code,cpse_id,sector,plant_code,raw_description,cleaned_description,cnmc_code,canonical_description,category_id,standard_uom,source_uom,match_type,match_confidence,review_status,issue_flag,unit_price_inr,current_stock_qty,annual_procurement_qty
MAT-700222,CPSE-SAIL,Steel & Metals,SAIL-ROURKELA-STEEL-PLANT,BEARING BALL 6206 OPEN C3,bearing ball 6206 open c3,CNMC-BRG-DGBB-6206-OPEN-00001,DEEP GROOVE BALL BEARING 30X62X16MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,454.31,10,36
MAT-671979,CPSE-GAIL,Gas Transmission & Petrochem,GAIL-PATA-PETROCHEMICAL,BEARING BALL 6306 OPEN C3,bearing ball 6306 open c3,CNMC-BRG-DGBB-6306-OPEN-00002,DEEP GROOVE BALL BEARING 30X72X19MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,776.04,6,21
MAT-941341,CPSE-ONGC,Oil & Gas Upstream,ONGC-RAJAHMUNDRY-ASSET,MCB 20A 1P C CURVE 10KA,mcb 20a 1p c curve 10ka,CNMC-ELE-MCB-20A-1P-C-00003,MINIATURE CIRCUIT BREAKER 20A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,308.48,13,41
MAT-459605,CPSE-ONGC,Oil & Gas Upstream,ONGC-HAZIRA-GAS-PLANT,MCB 20A 1P C CURVE 10KA,mcb 20a 1p c curve 10ka,CNMC-ELE-MCB-20A-1P-C-00003,MINIATURE CIRCUIT BREAKER 20A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,247.8,16,82
MAT-736693,CPSE-NTPC,Thermal Power Generation,NTPC-SINGRAULI-STPS-2000MW,BEARING BALL 6204 OPEN C3,bearing ball 6204 open c3,CNMC-BRG-DGBB-6204-OPEN-00004,DEEP GROOVE BALL BEARING 20X47X14MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,291.6,5,20
MAT-599450,CPSE-ONGC,Oil & Gas Upstream,ONGC-MUMBAI-HIGH-OFFSHORE,BEARING BL 6204 OPEN C3,bearing bl 6204 open c3,CNMC-BRG-DGBB-6204-OPEN-00004,DEEP GROOVE BALL BEARING 20X47X14MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,EXACT_DUPLICATE,0.95,AUTO_APPROVED,PRICE_SPREAD_WARNING,275.18,6,20
MAT-558967,CPSE-SAIL,Steel & Metals,SAIL-ROURKELA-STEEL-PLANT,SPIRAL WOUND GASKET 4 INCH 150# SS304/GR,spiral wound gasket 4 inch 150# ss304/gr,CNMC-SEAL-SPRL-4INCH-150#-SS304-00005,SPIRAL WOUND METALLIC GASKET 4 INCH CLASS 150# CENTERING RING CS INNER RING SS304 GRAPHITE FILLER ASME B16.20,GASKETS-SEALING-PRODUCTS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,486.39,234,885
MAT-796876,CPSE-SAIL,Steel & Metals,SAIL-BOKARO-STEEL-PLANT,HEX HEAD BOLT M20 X 65MM GR 8.8,hex head bolt m20 x 65mm gr 8.8,CNMC-FAS-BOLT-M20X65MM-8.8-00006,HEXAGONAL HEAD BOLT HIGH TENSILE M20 X 65MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,HARDWARE-FASTENERS,NO,NO,UNIQUE,1.0,AUTO_APPROVED,,116.87,152,472
MAT-797502,CPSE-ONGC,Oil & Gas Upstream,ONGC-URAN-PROCESSING-PLANT,STUD BOLT 1/2 INCH X 90MM B7 W/2NUTS 2H,stud bolt 1/2 inch x 90mm b7 w/2nuts 2h,CNMC-FAS-STUD-12INCHX90MM-B7-2H-00007,HIGH TENSILE ALLOY STEEL STUD BOLT 1/2 INCH X 90MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,HARDWARE-FASTENERS,SET,SET,UNIQUE,1.0,AUTO_APPROVED,,216.35,37,188
MAT-872018,CPSE-NTPC,Thermal Power Generation,NTPC-SINGRAULI-STPS-2000MW,BEARING BALL 6305 OPEN C3,bearing ball 6305 open c3,CNMC-BRG-DGBB-6305-OPEN-00008,DEEP GROOVE BALL BEARING 25X62X17MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,441.97,15,37
MAT-210553,CPSE-ONGC,Oil & Gas Upstream,ONGC-HAZIRA-GAS-PLANT,MCCB 400A 3P 50KA THERM-MAG,mccb 400a 3p 50ka therm-mag,CNMC-ELE-MCCB-400A-3P-50KA-00009,MOULDED CASE CIRCUIT BREAKER 400A 3P 415V AC 50KA THERMAL MAGNETIC TRIP UNIT IEC 60947-2,ELECTRICAL-SWITCHGEAR,EA,EA,UNIQUE,1.0,AUTO_APPROVED,,41442.41,0,3
