cnmc_code,canonical_description,category_id,category_name,sector,standard_uom,duplicate_count,affected_cpses,specifications
CNMC-BRG-DGBB-6206-OPEN-00001,DEEP GROOVE BALL BEARING 30X62X16MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Steel & Metals,EA,1,CPSE-SAIL,"{""spec_text"": ""DEEP GROOVE BALL BEARING 30X62X16MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-BRG-DGBB-6306-OPEN-00002,DEEP GROOVE BALL BEARING 30X72X19MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Gas Transmission & Petrochem,EA,1,CPSE-GAIL,"{""spec_text"": ""DEEP GROOVE BALL BEARING 30X72X19MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-ELE-MCB-20A-1P-C-00003,MINIATURE CIRCUIT BREAKER 20A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Oil & Gas Upstream,EA,2,CPSE-ONGC,"{""spec_text"": ""MINIATURE CIRCUIT BREAKER 20A 1P 240/415V 10KA SHORT CKT CAPACITY C-CURVE TRIP IS/IEC 60898-1""}"
CNMC-BRG-DGBB-6204-OPEN-00004,DEEP GROOVE BALL BEARING 20X47X14MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Oil & Gas Upstream,EA,2,"CPSE-NTPC, CPSE-ONGC","{""spec_text"": ""DEEP GROOVE BALL BEARING 20X47X14MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-SEAL-SPRL-4INCH-150#-SS304-00005,SPIRAL WOUND METALLIC GASKET 4 INCH CLASS 150# CENTERING RING CS INNER RING SS304 GRAPHITE FILLER ASME B16.20,GASKETS-SEALING-PRODUCTS,GASKETS-SEALING-PRODUCTS,Steel & Metals,EA,1,CPSE-SAIL,"{""spec_text"": ""SPIRAL WOUND METALLIC GASKET 4 INCH CLASS 150# CENTERING RING CS INNER RING SS304 GRAPHITE FILLER ASME B16.20""}"
CNMC-FAS-BOLT-M20X65MM-8.8-00006,HEXAGONAL HEAD BOLT HIGH TENSILE M20 X 65MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED,HARDWARE-FASTENERS,HARDWARE-FASTENERS,Steel & Metals,NO,1,CPSE-SAIL,"{""spec_text"": ""HEXAGONAL HEAD BOLT HIGH TENSILE M20 X 65MM LENGTH PROPERTY CLASS 8.8 IS 1364 / ISO 4014 GALVANIZED""}"
CNMC-FAS-STUD-12INCHX90MM-B7-2H-00007,HIGH TENSILE ALLOY STEEL STUD BOLT 1/2 INCH X 90MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,HARDWARE-FASTENERS,HARDWARE-FASTENERS,Oil & Gas Upstream,SET,1,CPSE-ONGC,"{""spec_text"": ""HIGH TENSILE ALLOY STEEL STUD BOLT 1/2 INCH X 90MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H""}"
CNMC-BRG-DGBB-6305-OPEN-00008,DEEP GROOVE BALL BEARING 25X62X17MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455,MRO-BEARINGS,MRO-BEARINGS,Thermal Power Generation,EA,1,CPSE-NTPC,"{""spec_text"": ""DEEP GROOVE BALL BEARING 25X62X17MM OPEN TYPE C3 CLEARANCE ISO 15 IS 6455""}"
CNMC-ELE-MCCB-400A-3P-50KA-00009,MOULDED CASE CIRCUIT BREAKER 400A 3P 415V AC 50KA THERMAL MAGNETIC TRIP UNIT IEC 60947-2,ELECTRICAL-SWITCHGEAR,ELECTRICAL-SWITCHGEAR,Oil & Gas Upstream,EA,1,CPSE-ONGC,"{""spec_text"": ""MOULDED CASE CIRCUIT BREAKER 400A 3P 415V AC 50KA THERMAL MAGNETIC TRIP UNIT IEC 60947-2""}"
CNMC-FAS-STUD-34INCHX140MM-B7-2H-00010,HIGH TENSILE ALLOY STEEL STUD BOLT 3/4 INCH X 140MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H,HARDWARE-FASTENERS,HARDWARE-FASTENERS,Thermal Power Generation,SET,1,CPSE-NTPC,"{""spec_text"": ""HIGH TENSILE ALLOY STEEL STUD BOLT 3/4 INCH X 140MM ASTM A193 B7 WITH 2 HEAVY HEX NUTS ASTM A194 2H""}"
