source_material_code,cpse_id,plant_code,raw_description,cleaned_description,cnmc_code,canonical_description,category_id,standard_uom,source_uom,match_type,match_confidence,review_status,issue_flag,unit_price_inr,current_stock_qty,annual_procurement_qty
CP-10010,CPCL_OG,CPCL_MANALI,SPH ROLLER BRG Bearing 22220,spherical roller bearing bearing 22220,NMC-GEN-BRG-0001,Spherical 100x180x46 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,16771.0,16,95
NT-10011,NTPC_PW,NTPC_SINGRAULI,Spherical Roller Brg Bearing 22220,spherical roller bearing bearing 22220,NMC-GEN-BRG-0001,Spherical 100x180x46 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,19128.93,36,214
SA-10012,SAIL_ST,SAIL_BHILAI,ROLL NECK BEARING Bearing 22220,spherical roller bearing bearing 22220,NMC-GEN-BRG-0001,Spherical 100x180x46 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,18470.6,16,45
CI-10013,CIL_MN,CIL_SINGRAULI,SRB Bearing 22220,spherical roller bearing bearing 22220,NMC-GEN-BRG-0001,Spherical 100x180x46 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,17913.87,60,31
BH-10014,BHEL_HE,BHEL_HYDERABAD,SPHERICAL ROLLER BEARING Bearing 22220,spherical roller bearing bearing 22220,NMC-GEN-BRG-0001,Spherical 100x180x46 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,19315.3,35,145
SA-30072,SAIL_ST,SAIL_BHILAI,Continuous Annealing Furnace Roller,continuous annealing furnace roller,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,428814.45,43,67
CI-50083,CIL_MN,CIL_SINGRAULI,SKF Bearing 6205-2RSH,skf bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1120.47,64,259
CP-10020,CPCL_OG,CPCL_MANALI,SPH ROLLER BRG Ball Bearing 6205-2RSH,spherical roller bearing ball bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,992.08,66,87
NT-10021,NTPC_PW,NTPC_SINGRAULI,Spherical Roller Brg Ball Bearing 6205-2RSH,spherical roller bearing ball bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1007.55,40,235
SA-10022,SAIL_ST,SAIL_BHILAI,ROLL NECK BEARING Ball Bearing 6205-2RSH,spherical roller bearing ball bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,974.55,79,140
CI-10023,CIL_MN,CIL_SINGRAULI,SRB Ball Bearing 6205-2RSH,spherical roller bearing ball bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,905.28,22,80
BH-10024,BHEL_HE,BHEL_HYDERABAD,SPHERICAL ROLLER BEARING Ball Bearing 6205-2RSH,spherical roller bearing ball bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1019.37,69,34
CP-50080,CPCL_OG,CPCL_MANALI,SKF Bearing 6205-2RSH,skf bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1080.94,55,116
CP-50090,CPCL_OG,CPCL_MANALI,Deep Groove Ball Bearing 25x52x15mm Rubber Sealed,deep groove ball bearing 25x52x15mm rubber sealed,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,921.58,71,222
SA-30032,SAIL_ST,SAIL_BHILAI,Mill Roll Neck Bearing 500mm Bore,mill spherical roller bearing 500nb (500mm) bore,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,514101.23,22,50
SA-50082,SAIL_ST,SAIL_BHILAI,SKF Bearing 6205-2RSH,skf bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1052.55,72,142
SA-50092,SAIL_ST,SAIL_BHILAI,Deep Groove Ball Bearing 25x52x15mm Rubber Sealed,deep groove ball bearing 25x52x15mm rubber sealed,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,958.21,31,99
CI-50093,CIL_MN,CIL_SINGRAULI,Deep Groove Ball Bearing 25x52x15mm Rubber Sealed,deep groove ball bearing 25x52x15mm rubber sealed,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,909.48,12,47
BH-50084,BHEL_HE,BHEL_HYDERABAD,SKF Bearing 6205-2RSH,skf bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1106.2,77,325
BH-50094,BHEL_HE,BHEL_HYDERABAD,Deep Groove Ball Bearing 25x52x15mm Rubber Sealed,deep groove ball bearing 25x52x15mm rubber sealed,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,955.86,17,60
NT-50081,NTPC_PW,NTPC_SINGRAULI,SKF Bearing 6205-2RSH,skf bearing 6205-2rsh,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,1116.42,16,25
NT-50091,NTPC_PW,NTPC_SINGRAULI,Deep Groove Ball Bearing 25x52x15mm Rubber Sealed,deep groove ball bearing 25x52x15mm rubber sealed,NMC-GEN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,906.81,6,24
CP-10030,CPCL_OG,CPCL_MANALI,SPH ROLLER BRG Bearing 22316,spherical roller bearing bearing 22316,NMC-GEN-BRG-0003,Spherical 80x170x58 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27025.8,64,41
NT-10031,NTPC_PW,NTPC_SINGRAULI,Spherical Roller Brg Bearing 22316,spherical roller bearing bearing 22316,NMC-GEN-BRG-0003,Spherical 80x170x58 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,25089.67,48,181
SA-10032,SAIL_ST,SAIL_BHILAI,ROLL NECK BEARING Bearing 22316,spherical roller bearing bearing 22316,NMC-GEN-BRG-0003,Spherical 80x170x58 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,25596.82,32,161
CI-10033,CIL_MN,CIL_SINGRAULI,SRB Bearing 22316,spherical roller bearing bearing 22316,NMC-GEN-BRG-0003,Spherical 80x170x58 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28409.12,12,68
BH-10034,BHEL_HE,BHEL_HYDERABAD,SPHERICAL ROLLER BEARING Bearing 22316,spherical roller bearing bearing 22316,NMC-GEN-BRG-0003,Spherical 80x170x58 mm ISO 15,BEARINGS,NOS,EA,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27888.69,70,99
BH-50004,BHEL_HE,BHEL_HYDERABAD,Gate Valve 150NB Class 150 CS Flanged,gate valve 150nb class 150 carbon steel flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,29541.65,57,259
BH-50024,BHEL_HE,BHEL_HYDERABAD,Gate Valve 150mm CS Class 150 Flanged,gate valve 150nb (150mm) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,29433.14,53,238
BH-50034,BHEL_HE,BHEL_HYDERABAD,Gate Valve 6 inch CS Class 150 Flanged,gate valve 150nb (6inch) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,29154.4,42,130
CP-10040,CPCL_OG,CPCL_MANALI,Gate Valve Cast Steel 150NB Class 150,gate valve cast steel 150nb class 150,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27053.87,62,312
NT-10041,NTPC_PW,NTPC_SINGRAULI,Gate Valve Cast Steel 150NB Class 150,gate valve cast steel 150nb class 150,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27210.92,69,344
SA-10042,SAIL_ST,SAIL_BHILAI,Gate Valve Cast Steel 150NB Class 150,gate valve cast steel 150nb class 150,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28313.91,29,152
CI-10043,CIL_MN,CIL_SINGRAULI,Gate Valve Cast Steel 150NB Class 150,gate valve cast steel 150nb class 150,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,29733.76,27,92
BH-10044,BHEL_HE,BHEL_HYDERABAD,Gate Valve Cast Steel 150NB Class 150,gate valve cast steel 150nb class 150,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28210.69,49,248
CP-50000,CPCL_OG,CPCL_MANALI,Gate Valve 150NB Class 150 CS Flanged,gate valve 150nb class 150 carbon steel flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27098.08,8,43
CP-50020,CPCL_OG,CPCL_MANALI,Gate Valve 150mm CS Class 150 Flanged,gate valve 150nb (150mm) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,29351.75,79,449
CP-50030,CPCL_OG,CPCL_MANALI,Gate Valve 6 inch CS Class 150 Flanged,gate valve 150nb (6inch) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28079.11,26,77
NT-50001,NTPC_PW,NTPC_SINGRAULI,Gate Valve 150NB Class 150 CS Flanged,gate valve 150nb class 150 carbon steel flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27332.36,52,33
NT-50021,NTPC_PW,NTPC_SINGRAULI,Gate Valve 150mm CS Class 150 Flanged,gate valve 150nb (150mm) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28125.47,35,166
NT-50031,NTPC_PW,NTPC_SINGRAULI,Gate Valve 6 inch CS Class 150 Flanged,gate valve 150nb (6inch) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28160.92,49,79
SA-50002,SAIL_ST,SAIL_BHILAI,Gate Valve 150NB Class 150 CS Flanged,gate valve 150nb class 150 carbon steel flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,29042.3,29,127
SA-50022,SAIL_ST,SAIL_BHILAI,Gate Valve 150mm CS Class 150 Flanged,gate valve 150nb (150mm) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27358.16,49,207
SA-50032,SAIL_ST,SAIL_BHILAI,Gate Valve 6 inch CS Class 150 Flanged,gate valve 150nb (6inch) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27247.57,37,66
CI-50003,CIL_MN,CIL_SINGRAULI,Gate Valve 150NB Class 150 CS Flanged,gate valve 150nb class 150 carbon steel flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,27224.34,55,296
CI-50023,CIL_MN,CIL_SINGRAULI,Gate Valve 150mm CS Class 150 Flanged,gate valve 150nb (150mm) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28352.58,48,286
CI-50033,CIL_MN,CIL_SINGRAULI,Gate Valve 6 inch CS Class 150 Flanged,gate valve 150nb (6inch) carbon steel class 150 flanged,NMC-GEN-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,28766.95,59,286
CP-10050,CPCL_OG,CPCL_MANALI,Globe Valve Cast Steel 100NB Class 150,globe valve cast steel 100nb class 150,NMC-GEN-VLV-0002,Globe 100NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,26091.08,59,90
NT-10051,NTPC_PW,NTPC_SINGRAULI,Globe Valve Cast Steel 100NB Class 150,globe valve cast steel 100nb class 150,NMC-GEN-VLV-0002,Globe 100NB Class 150 Carbon Steel API 600,VALVES_FLOW,NOS,NOS,EXACT_DUPLICATE,0.96,AUTO_APPROVED,,23696.05,10,26
