cnmc_code,canonical_description,category_id,category_name,sector,standard_uom,duplicate_count,affected_cpses,specifications
NMC-OG-BRG-0001,Spherical 100x180x46 mm ISO 15,BEARINGS,Bearings & Spares,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ISO 15""], ""dimensions"": {""boundary_3d"": ""100x180x46 mm"", ""length_mm"": 100, ""width_mm"": 180, ""thickness_mm"": 46}, ""models"": {""part_number"": ""22220""}}"
NMC-MN-BRG-0002,Deep 25x52x15 mm Rubber ISO 15,BEARINGS,Bearings & Spares,Mining,NOS,15,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""dimensions"": {""boundary_3d"": ""25x52x15 mm"", ""length_mm"": 25, ""width_mm"": 52, ""thickness_mm"": 15}, ""models"": {""part_number"": ""6205-2RSH"", ""seal_type"": ""Rubber Sealed (2RS)""}, ""material"": ""Rubber"", ""standards"": [""ISO 15""]}"
NMC-OG-BRG-0003,Spherical 80x170x58 mm ISO 15,BEARINGS,Bearings & Spares,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ISO 15""], ""dimensions"": {""boundary_3d"": ""80x170x58 mm"", ""length_mm"": 80, ""width_mm"": 170, ""thickness_mm"": 58}, ""models"": {""part_number"": ""22316""}}"
NMC-HE-VLV-0001,Gate 150NB Class 150 Carbon Steel API 600,VALVES_FLOW,Valves & Flow Control,Heavy Engineering,NOS,20,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""API 600"", ""ASTM A216 WCB""], ""pressure_class"": 150, ""dimensions"": {""nominal_bore"": ""150NB""}, ""material"": ""Carbon Steel"", ""grade"": ""Class 150"", ""flange_face"": ""Raised Face (RF)"", ""end_connection"": ""Flanged""}"
NMC-OG-VLV-0002,Globe 100NB Class 150 Carbon Steel API 600,VALVES_FLOW,Valves & Flow Control,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""API 600"", ""ASTM A216 WCB""], ""pressure_class"": 150, ""dimensions"": {""nominal_bore"": ""100NB""}, ""material"": ""Carbon Steel"", ""grade"": ""Class 150"", ""flange_face"": ""Raised Face (RF)"", ""end_connection"": ""Flanged""}"
NMC-OG-VLV-0003,Ball 50NB Class 300 Stainless Steel 316 API 608,VALVES_FLOW,Valves & Flow Control,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""API 608""], ""pressure_class"": 300, ""dimensions"": {""nominal_bore"": ""50NB""}, ""material"": ""Stainless Steel 316"", ""grade"": ""Class 300"", ""flange_face"": ""Raised Face (RF)"", ""end_connection"": ""Flanged""}"
NMC-ST-GSK-0001,Spiral 150NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,Gaskets & Seals,Steel,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ASME B16.20""], ""pressure_class"": 150, ""dimensions"": {""nominal_bore"": ""150NB""}, ""material"": ""Stainless Steel 316"", ""grade"": ""Class 150""}"
NMC-OG-GSK-0002,Spiral 100NB Class 150 Stainless Steel 316 ASME B16.20,GASKETS_SEALS,Gaskets & Seals,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ASME B16.20""], ""pressure_class"": 150, ""dimensions"": {""nominal_bore"": ""100NB""}, ""material"": ""Stainless Steel 316"", ""grade"": ""Class 150""}"
NMC-OG-MOT-0001,Induction Motor 15Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,Electric Motors & Drives,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""electrical"": {""voltage"": ""415V"", ""power_kw"": 15.0}}"
NMC-OG-MOT-0002,Induction Motor 30Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,Electric Motors & Drives,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""electrical"": {""voltage"": ""415V"", ""power_kw"": 30.0}}"
NMC-OG-MOT-0003,Induction Motor 75Kw 4P Totally Enclosed Fan Cooled,MOTORS_DRIVES,Electric Motors & Drives,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""electrical"": {""voltage"": ""415V"", ""power_kw"": 75.0}}"
NMC-OG-CBL-0001,11Kv Aluminium IS 7098,CABLES_CONDUCTORS,Cables & Conductors,Oil & Gas,MTR,10,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""IS 7098""], ""material"": ""Aluminium"", ""electrical"": {""voltage"": ""11KV"", ""cable_cores"": 3, ""cable_sqmm"": 400.0, ""conductor"": ""Aluminium"", ""insulation"": ""XLPE"", ""armoured"": true}, ""dimensions"": {""boundary_2d"": ""3x400 mm""}}"
NMC-HE-CBL-0002,1.1Kv Aluminium IS 7098,CABLES_CONDUCTORS,Cables & Conductors,Heavy Engineering,MTR,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""IS 7098""], ""material"": ""Aluminium"", ""electrical"": {""voltage"": ""1.1KV"", ""cable_cores"": 3, ""cable_sqmm"": 95.0, ""conductor"": ""Aluminium"", ""insulation"": ""XLPE"", ""armoured"": true}}"
NMC-OG-CBL-0003,1.1Kv Copper IS 7098,CABLES_CONDUCTORS,Cables & Conductors,Oil & Gas,MTR,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""IS 7098""], ""material"": ""Copper"", ""electrical"": {""voltage"": ""1.1KV"", ""cable_cores"": 4, ""cable_sqmm"": 16.0, ""conductor"": ""Copper"", ""insulation"": ""XLPE""}}"
NMC-OG-FST-0001,Hexagonal Bolt M16 X 80 Grade 8.8,FASTENERS,Fasteners & Hardware,Oil & Gas,NOS,10,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ISO 898-1""], ""dimensions"": {""bolt_thread"": ""M16"", ""bolt_length_mm"": 80}, ""grade"": ""Grade 8.8""}"
NMC-OG-FST-0002,Hexagonal Bolt M16 Grade 8,FASTENERS,Fasteners & Hardware,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ISO 4032""]}"
NMC-OG-FST-0003,Hexagonal Bolt M20 X 150 Grade 8.8,FASTENERS,Fasteners & Hardware,Oil & Gas,NOS,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""ASTM A193 B7""], ""dimensions"": {""bolt_thread"": ""M20"", ""bolt_length_mm"": 150}, ""grade"": ""Grade 8.8""}"
NMC-OG-GSK-0003,Mechanical 40NB DIN 24960,GASKETS_SEALS,Gaskets & Seals,Oil & Gas,SET,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""DIN 24960""], ""dimensions"": {""nominal_bore"": ""40NB""}}"
NMC-OG-GSK-0004,Mechanical 50NB DIN 24960,GASKETS_SEALS,Gaskets & Seals,Oil & Gas,SET,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""standards"": [""DIN 24960""], ""dimensions"": {""nominal_bore"": ""50NB""}}"
NMC-PW-DRL-0001,Hydraulic 25NB Class 215,DRILLING_MINING,Drilling & Mining Tools,Power,MTR,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""pressure_class"": 215, ""dimensions"": {""nominal_bore"": ""25NB""}}"
NMC-OG-FST-0004,Hydraulic 100NB Class 215,FASTENERS,Fasteners & Hardware,Oil & Gas,MTR,5,"CIL_MN, SAIL_ST, BHEL_HE, CPCL_OG, NTPC_PW","{""pressure_class"": 215, ""dimensions"": {""nominal_bore"": ""100NB""}}"
