cpse_id,sector,plant_code,source_material_code,material_type,material_description,technical_spec_text,uom,existing_material_group,unit_price_inr,current_stock_qty,annual_procurement_qty,bucket,human_review_flag
CPCL_OG,Oil & Gas,CPCL_MANALI,CP-10010,ERSA,SPH ROLLER BRG Bearing 22220,ISO 15 | 100x180x46 mm,EA,SPH-GEN,16771.0,16,95,A,False
NTPC_PW,Power,NTPC_SINGRAULI,NT-10011,ERSA,Spherical Roller Brg Bearing 22220,ISO 15 | 100x180x46 mm,EA,SPHERICAL-GEN,19128.93,36,214,A,False
SAIL_ST,Steel,SAIL_BHILAI,SA-10012,ERSA,ROLL NECK BEARING Bearing 22220,ISO 15 | 100x180x46 mm,EA,ROLL-GEN,18470.6,16,45,A,False
CIL_MN,Mining,CIL_SINGRAULI,CI-10013,ERSA,SRB Bearing 22220,ISO 15 | 100x180x46 mm,EA,SRB-GEN,17913.87,60,31,A,False
BHEL_HE,Heavy Engineering,BHEL_HYDERABAD,BH-10014,ERSA,SPHERICAL ROLLER BEARING Bearing 22220,ISO 15 | 100x180x46 mm,EA,SPHERICAL-GEN,19315.3,35,145,A,False
CPCL_OG,Oil & Gas,CPCL_MANALI,CP-10020,ERSA,SPH ROLLER BRG Ball Bearing 6205-2RSH,25x52x15 mm | Rubber Sealed,EA,SPH-GEN,992.08,66,87,A,False
NTPC_PW,Power,NTPC_SINGRAULI,NT-10021,ERSA,Spherical Roller Brg Ball Bearing 6205-2RSH,25x52x15 mm | Rubber Sealed,EA,SPHERICAL-GEN,1007.55,40,235,A,False
SAIL_ST,Steel,SAIL_BHILAI,SA-10022,ERSA,ROLL NECK BEARING Ball Bearing 6205-2RSH,25x52x15 mm | Rubber Sealed,EA,ROLL-GEN,974.55,79,140,A,False
CIL_MN,Mining,CIL_SINGRAULI,CI-10023,ERSA,SRB Ball Bearing 6205-2RSH,25x52x15 mm | Rubber Sealed,EA,SRB-GEN,905.28,22,80,A,False
BHEL_HE,Heavy Engineering,BHEL_HYDERABAD,BH-10024,ERSA,SPHERICAL ROLLER BEARING Ball Bearing 6205-2RSH,25x52x15 mm | Rubber Sealed,EA,SPHERICAL-GEN,1019.37,69,34,A,False
CPCL_OG,Oil & Gas,CPCL_MANALI,CP-10030,ERSA,SPH ROLLER BRG Bearing 22316,80x170x58 mm | ISO 15,EA,SPH-GEN,27025.8,64,41,A,False
NTPC_PW,Power,NTPC_SINGRAULI,NT-10031,ERSA,Spherical Roller Brg Bearing 22316,80x170x58 mm | ISO 15,EA,SPHERICAL-GEN,25089.67,48,181,A,False
SAIL_ST,Steel,SAIL_BHILAI,SA-10032,ERSA,ROLL NECK BEARING Bearing 22316,80x170x58 mm | ISO 15,EA,ROLL-GEN,25596.82,32,161,A,False
CIL_MN,Mining,CIL_SINGRAULI,CI-10033,ERSA,SRB Bearing 22316,80x170x58 mm | ISO 15,EA,SRB-GEN,28409.12,12,68,A,False
BHEL_HE,Heavy Engineering,BHEL_HYDERABAD,BH-10034,ERSA,SPHERICAL ROLLER BEARING Bearing 22316,80x170x58 mm | ISO 15,EA,SPHERICAL-GEN,27888.69,70,99,A,False
CPCL_OG,Oil & Gas,CPCL_MANALI,CP-10040,ERSA,Gate Valve Cast Steel 150NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GATE-GEN,27053.87,62,312,A,False
NTPC_PW,Power,NTPC_SINGRAULI,NT-10041,ERSA,Gate Valve Cast Steel 150NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GATE-GEN,27210.92,69,344,A,False
SAIL_ST,Steel,SAIL_BHILAI,SA-10042,ERSA,Gate Valve Cast Steel 150NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GATE-GEN,28313.91,29,152,A,False
CIL_MN,Mining,CIL_SINGRAULI,CI-10043,ERSA,Gate Valve Cast Steel 150NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GATE-GEN,29733.76,27,92,A,False
BHEL_HE,Heavy Engineering,BHEL_HYDERABAD,BH-10044,ERSA,Gate Valve Cast Steel 150NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GATE-GEN,28210.69,49,248,A,False
CPCL_OG,Oil & Gas,CPCL_MANALI,CP-10050,ERSA,Globe Valve Cast Steel 100NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GLOBE-GEN,26091.08,59,90,A,False
NTPC_PW,Power,NTPC_SINGRAULI,NT-10051,ERSA,Globe Valve Cast Steel 100NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GLOBE-GEN,23696.05,10,26,A,False
SAIL_ST,Steel,SAIL_BHILAI,SA-10052,ERSA,Globe Valve Cast Steel 100NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GLOBE-GEN,22862.3,72,153,A,False
CIL_MN,Mining,CIL_SINGRAULI,CI-10053,ERSA,Globe Valve Cast Steel 100NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GLOBE-GEN,24947.52,2,7,A,False
BHEL_HE,Heavy Engineering,BHEL_HYDERABAD,BH-10054,ERSA,Globe Valve Cast Steel 100NB Class 150,API 600 | ASTM A216 WCB | RF Flanged,NOS,GLOBE-GEN,25386.32,9,19,A,False
CPCL_OG,Oil & Gas,CPCL_MANALI,CP-10060,ERSA,Ball Valve 50NB Class 300,API 608 | SS316 | RF Flanged,NOS,BALL-GEN,20682.42,6,26,A,False
NTPC_PW,Power,NTPC_SINGRAULI,NT-10061,ERSA,Ball Valve 50NB Class 300,API 608 | SS316 | RF Flanged,NOS,BALL-GEN,20693.83,32,87,A,False
