material_id,cpse_name,sector,plant,legacy_material_code,material_description,short_description,material_category,material_subcategory,technical_specification,material_grade,size,manufacturer,manufacturer_part_number,uom,unit_price,currency,annual_consumption,lead_time_days,criticality,procurement_type,supplier,last_purchase_date,status,canonical_material_id,common_national_material_code,duplicate_group_id,equivalence_group_id,match_type,equivalence_label,standardized_description,standardized_specification
MAT-ST-000001,RINL,Steel,RINL-PLANT-03,ST-577374,"HYDRAULIC  HOSE,  SAE  100R2AT,  1  INCH","HYDRAULIC  HOSE,  SAE  100R2AT,  1  INCH",Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,Bharat Engineering,MP-59885,KG,227874.78,INR,4779,53,LOW,Rate Contract,Supplier B,2025-04-18,ACTIVE,CAN-ST-00395,NMC-ST-00395,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000002,SAIL,Steel,SAIL-PLANT-03,ST-420409,15 kW Helical Gearbox 20:1,15 kW Helical Gearbox 20:1,Gearboxes,Helical Gearbox,IEC 60034,15 kW,20:1,National Components,MP-82359,LTR,132881.52,INR,1595,86,CRITICAL,Domestic,Supplier C,2023-12-12,ACTIVE,CAN-ST-00250,NMC-ST-00250,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,15 kW Helical Gearbox 20:1,IEC 60034
MAT-ST-000003,MOIL,Steel,MOIL-PLANT-04,ST-458915,High Alumina Brick Al2O3 >70% 230x114x65 mm,High Alumina Brick Al2O3 >70% 230x114x65,Refractories,High Alumina Brick,IS 8,Al2O3 >70%,230x114x65 mm,ABC Industries,MP-99202,LTR,91295.36,INR,4241,60,HIGH,Rate Contract,Supplier A,2024-07-22,BLOCKED,CAN-ST-00198,NMC-ST-00198,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,Al2O3 >70% High Alumina Brick 230x114x65 mm,IS 8
MAT-ST-000004,NMDC,Steel,NMDC-PLANT-05,ST-694574,Hydraulic Hose - SAE 100R2AT - 1 inch,Hydraulic Hose - SAE 100R2AT - 1 inch,Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,National Components,MP-14521,MTR,191930.38,INR,3429,8,CRITICAL,Rate Contract,Supplier D,2023-10-01,ACTIVE,CAN-ST-00316,NMC-ST-00316,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000005,RINL,Steel,RINL-PLANT-02,ST-259794,Deep Groove Ball Bearing - 6312 ZZ - 6312,Deep Groove Ball Bearing - 6312 ZZ - 631,Bearings,Deep Groove Ball Bearing,ISO 15,6312 ZZ,6312,Bharat Engineering,MP-64906,KG,65530.64,INR,3202,11,HIGH,Rate Contract,Supplier C,2023-03-17,ACTIVE,CAN-ST-00046,NMC-ST-00046,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,6312 ZZ Deep Groove Ball Bearing 6312,ISO 15
MAT-ST-000006,SAIL,Steel,SAIL-PLANT-04,ST-477808,SAE 100R2AT Hydraulic Hose DIA 1 inch,SAE 100R2AT Hydraulic Hose DIA 1 inch,Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,ABC Industries,MP-59781,KG,227857.51,INR,3855,46,CRITICAL,Domestic,Supplier A,2023-09-27,ACTIVE,CAN-ST-00370,NMC-ST-00370,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000007,RINL,Steel,RINL-PLANT-07,ST-372669,Induction Motor SMLS 415V 30 kW,Induction Motor SMLS 415V 30 kW,Motors,Induction Motor,IEC 60034,415V,30 kW,National Components,MP-32985,EA,49727.13,INR,931,30,CRITICAL,Domestic,Supplier D,2022-11-29,ACTIVE,CAN-ST-00580,NMC-ST-00580,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
MAT-ST-000008,SAIL,Steel,SAIL-PLANT-08,ST-446795,"Process Pump, CS, 80 m3/h","Process Pump, CS, 80 m3/h",Pumps,Process Pump,API 610,CS,80 m3/h,OEM Equivalent,MP-91188,EA,57146.28,INR,2255,20,MEDIUM,Imported,Supplier D,2026-01-12,BLOCKED,CAN-ST-00679,NMC-ST-00679,DUP-ST-00800,EQ-ST-00800,EXACT_DUPLICATE,1,CS Process Pump 80 m3/h,API 610
MAT-ST-000009,MOIL,Steel,MOIL-PLANT-02,ST-937201,"Hydraulic Hose, SAE 100R2AT, 1 inch","Hydraulic Hose, SAE 100R2AT, 1 inch",Hydraulics,Hydraulic Hose,SAE 100R2AT,SAE 100R2AT,1 inch,OEM Equivalent,MP-92442,KG,60501.36,INR,3653,80,CRITICAL,Rate Contract,Supplier B,2026-08-11,ACTIVE,CAN-ST-00320,NMC-ST-00320,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,SAE 100R2AT Hydraulic Hose 1 inch,SAE 100R2AT
MAT-ST-000010,RINL,Steel,RINL-PLANT-04,ST-246852,Induction Motor SMLS 415V 30 kW,Induction Motor SMLS 415V 30 kW,Motors,Induction Motor,IEC 60034,415V,30 kW,Precision Works,MP-18454,EA,137589.07,INR,2507,73,HIGH,Rate Contract,Supplier C,2023-04-15,BLOCKED,CAN-ST-00541,NMC-ST-00541,DUP-ST-00800,EQ-ST-00800,NEAR_DUPLICATE,1,415V Induction Motor 30 kW,IEC 60034
